Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2021-05-02;15,00;42,50;57,50;70,00;0,00;15,00;14,00;14,00;14,00
2021-05-09;15,00;15,00;45,00;90,00;0,00;0,00;15,00;0,00;0,00
2021-05-16;15,00;57,50;87,50;42,50;0,00;0,00;29,00;15,00;0,00
2021-05-23;0,00;42,00;12,00;36,00;0,00;0,00;15,00;0,00;0,00
2021-05-30;15,00;90,00;30,00;60,00;0,00;0,00;0,00;0,00;0,00
2021-06-06;15,00;30,00;30,00;60,00;0,00;0,00;15,00;15,00;0,00
2021-06-13;0,00;0,00;12,00;18,00;0,00;0,00;0,00;15,00;0,00
2021-06-20;30,00;75,00;15,00;45,00;0,00;0,00;15,00;0,00;15,00
2021-06-27;0,00;12,00;12,00;24,00;6,00;15,00;15,00;0,00;0,00
2021-07-04;16,00;168,00;101,33;85,33;0,00;0,00;16,00;0,00;0,00
2021-07-11;17,00;53,83;164,33;164,33;0,00;0,00;17,00;0,00;17,00
2021-07-18;19,00;40,71;40,71;97,71;0,00;19,00;0,00;0,00;19,00
2021-07-25;51,00;102,00;51,00;68,85;17,85;0,00;17,00;0,00;0,00
2021-08-01;17,00;97,14;80,14;80,14;0,00;0,00;17,00;0,00;0,00
2021-08-08;35,00;187,50;120,00;85,00;0,00;0,00;17,00;0,00;0,00
2021-08-15;100,00;100,00;17,95;133,33;0,00;17,00;0,00;17,00;0,00
2021-08-22;35,00;52,50;0,00;70,00;0,00;0,00;18,00;35,00;0,00
2021-08-29;71,00;0,00;35,50;106,50;17,75;0,00;0,00;0,00;0,00
2021-09-05;37,00;58,14;18,50;132,14;0,00;0,00;0,00;37,00;0,00
2021-09-12;0,00;28,00;14,00;21,00;0,00;0,00;0,00;0,00;0,00
2021-09-19;0,00;42,00;7,00;21,00;0,00;0,00;18,00;0,00;0,00
2021-09-26;17,00;48,57;65,57;82,57;0,00;17,00;17,00;17,00;0,00
2021-10-03;25,00;50,00;25,00;60,00;0,00;0,00;0,00;0,00;0,00
2021-10-10;23,00;46,00;46,00;92,00;0,00;0,00;11,00;11,00;0,00
2021-10-17;11,00;60,50;46,75;143,00;0,00;0,00;11,00;0,00;11,00
2021-10-24;0,00;36,00;18,00;18,00;0,00;0,00;0,00;0,00;23,00
2021-10-31;23,00;92,00;35,78;81,78;0,00;0,00;35,00;12,00;0,00
2021-11-07;46,00;115,00;56,22;69,00;0,00;0,00;11,00;11,00;0,00
2021-11-14;22,00;85,56;31,78;114,89;0,00;0,00;22,00;0,00;0,00
2021-11-21;11,00;148,50;57,75;148,50;0,00;0,00;0,00;0,00;0,00
2021-11-28;31,00;136,92;62,00;64,58;0,00;0,00;10,00;0,00;0,00
2021-12-05;33,00;55,85;22,85;43,15;0,00;0,00;11,00;0,00;0,00
2021-12-12;11,00;96,25;60,50;121,00;0,00;0,00;23,00;11,00;11,00
2021-12-19;0,00;35,00;30,00;25,00;10,00;0,00;0,00;13,00;0,00
2021-12-26;30,00;72,50;30,00;57,50;0,00;0,00;15,00;0,00;0,00
