Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-11-22;24,00;12,92;5,54;0,00;12,92;6,00;0,00;12,00;6,00
2020-11-29;68,00;25,73;18,38;31,24;0,00;6,00;12,00;6,00;12,00
2020-12-06;6,00;28,00;28,00;6,00;0,00;13,00;0,00;13,00;0,00
2020-12-13;26,00;20,43;33,43;185,71;7,43;26,00;6,00;6,00;7,00
2020-12-20;57,00;34,94;29,42;106,65;0,00;7,00;7,00;14,00;7,00
2020-12-27;19,00;24,18;6,91;72,55;0,00;6,00;0,00;19,00;6,00
2021-01-03;43,00;61,70;5,61;50,48;0,00;42,00;0,00;12,00;12,00
2021-01-10;30,00;30,00;22,94;52,94;5,29;36,00;0,00;6,00;0,00
2021-01-17;85,00;36,96;12,93;49,89;0,00;18,00;0,00;12,00;12,00
2021-01-24;43,00;61,70;31,78;31,78;5,61;18,00;12,00;30,00;0,00
2021-01-31;55,00;80,67;12,83;5,50;0,00;18,00;6,00;18,00;12,00
2021-02-07;25,00;66,07;5,36;17,86;0,00;6,00;6,00;0,00;0,00
2021-02-14;32,00;32,00;18,82;26,35;13,18;6,00;0,00;6,00;6,00
2021-02-21;37,00;31,45;25,90;31,45;0,00;0,00;6,00;12,00;6,00
2021-02-28;44,00;18,33;5,50;5,50;5,50;6,00;6,00;31,00;0,00
2021-03-07;45,00;37,80;19,80;37,80;0,00;6,00;6,00;19,00;6,00
2021-03-14;50,00;44,44;5,56;31,48;5,56;12,00;0,00;6,00;0,00
2021-03-21;33,00;45,83;12,83;0,00;0,00;0,00;7,00;13,00;13,00
2021-03-28;42,00;0,00;0,00;14,61;0,00;14,00;0,00;0,00;0,00
2021-04-04;67,00;13,03;27,92;13,03;0,00;0,00;0,00;0,00;0,00
2021-04-11;14,00;7,00;33,25;14,00;0,00;7,00;0,00;21,00;0,00
2021-04-18;21,00;7,00;0,00;7,00;0,00;14,00;0,00;7,00;0,00
2021-04-25;20,00;20,00;7,27;0,00;0,00;0,00;0,00;7,00;0,00
2021-05-02;46,00;12,88;7,36;12,88;0,00;0,00;0,00;6,00;0,00
2021-05-09;20,00;12,73;27,27;27,27;0,00;0,00;0,00;20,00;7,00
2021-05-16;13,00;13,00;13,00;13,00;0,00;13,00;0,00;0,00;0,00
2021-05-23;41,00;14,26;7,13;26,74;0,00;7,00;0,00;21,00;7,00
2021-05-30;22,00;22,00;36,67;14,67;0,00;15,00;0,00;7,00;0,00
2021-06-06;34,00;41,16;19,68;0,00;7,16;0,00;0,00;7,00;0,00
2021-06-13;34,00;7,16;0,00;7,16;0,00;0,00;0,00;0,00;0,00
2021-06-20;14,00;26,25;7,00;26,25;0,00;0,00;0,00;7,00;7,00
2021-06-27;40,00;7,27;0,00;12,73;0,00;13,00;0,00;33,00;13,00
2021-07-04;14,00;30,00;8,00;30,00;0,00;7,00;0,00;13,00;20,00
2021-07-11;42,00;21,91;27,39;27,39;14,61;0,00;0,00;21,00;7,00
2021-07-18;22,00;22,00;14,67;51,33;0,00;0,00;0,00;7,00;0,00
2021-07-25;69,00;7,26;14,53;27,24;0,00;0,00;7,00;0,00;0,00
2021-08-01;21,00;40,25;14,00;33,25;7,00;0,00;21,00;21,00;0,00
2021-08-08;43,00;22,43;14,96;29,91;0,00;0,00;7,00;0,00;0,00
2021-08-15;56,00;27,10;14,45;14,45;0,00;7,00;0,00;7,00;14,00
2021-08-22;32,00;32,00;7,53;24,47;0,00;16,00;8,00;16,00;24,00
2021-08-29;52,00;7,43;0,00;14,86;0,00;7,00;7,00;22,00;7,00
2021-09-05;38,00;7,24;7,24;59,71;0,00;91,00;8,00;30,00;8,00
2021-09-12;15,00;15,00;30,00;15,00;0,00;15,00;7,00;7,00;0,00
2021-09-19;36,00;14,40;21,60;21,60;0,00;7,00;0,00;22,00;7,00
2021-09-26;7,00;14,00;0,00;21,00;0,00;14,00;7,00;14,00;14,00
2021-10-03;11,00;22,00;0,00;16,50;0,00;11,00;6,00;17,00;17,00
2021-10-10;21,00;11,45;32,45;11,45;0,00;5,00;0,00;10,00;10,00
2021-10-17;20,00;25,45;10,91;34,55;0,00;5,00;0,00;0,00;0,00
2021-10-24;41,00;11,18;20,50;14,91;11,18;0,00;5,00;10,00;0,00
2021-10-31;26,00;26,00;14,86;42,71;0,00;26,00;0,00;5,00;0,00
2021-11-07;30,00;15,00;5,63;20,63;5,63;20,00;0,00;15,00;5,00
2021-11-14;10,00;22,00;16,00;22,00;0,00;0,00;5,00;10,00;0,00
2021-11-21;39,00;50,14;14,86;24,14;0,00;15,00;5,00;5,00;0,00
2021-11-28;5,00;18,33;18,33;13,33;5,00;24,00;0,00;15,00;5,00
2021-12-05;26,00;11,14;0,00;20,43;0,00;5,00;10,00;10,00;41,00
2021-12-12;43,00;11,22;16,83;31,78;0,00;5,00;0,00;16,00;53,00
2021-12-19;43,00;12,54;12,54;17,92;5,38;25,00;12,00;6,00;6,00
2021-12-26;33,00;106,33;7,33;40,33;0,00;26,00;0,00;26,00;7,00
