Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2020-02-16;50,00;65,63;3,13;0,00;9,38;83,33;12,50;16,67;58,33;93,33;3,33;3,33;6,67;3,45;55,17;1,72;0,00;2,00;2,00;2,00;7,00;7,00;9,00;0,00;2,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;37,00;52,42;3,08;0,00;3,08;53,44;12,33;8,22;32,89;43,73;3,36;3,36;6,73;0,00;28,19;3,52;0,00;0,00;4,00;4,00;2,00;8,00;17,00;0,00;0,00;0,00;0,00;4,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;20,00;50,00;3,33;0,00;0,00;40,00;4,00;4,00;36,00;53,33;3,33;0,00;10,00;1,67;31,67;0,00;0,00;0,00;2,00;2,00;2,00;8,00;6,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;40,00;18,46;3,08;0,00;0,00;24,00;8,00;0,00;12,00;20,00;0,00;0,00;0,00;0,00;17,39;0,00;0,00;0,00;2,00;4,00;0,00;6,00;2,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;40,00;21,54;3,08;0,00;9,23;20,00;8,00;0,00;4,00;13,33;0,00;0,00;3,33;0,00;20,00;0,00;3,64;2,00;4,00;0,00;2,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;7,00;17,50;7,00;0,00;3,50;17,50;3,50;7,00;10,50;31,50;0,00;0,00;3,50;0,00;14,00;0,00;1,75;2,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;6,00;12,00;3,00;0,00;0,00;18,00;12,00;6,00;30,00;15,00;3,00;0,00;0,00;0,00;16,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;4,00;0,00;0,00;2,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;4,00;20,00;4,00;0,00;4,00;12,00;4,00;2,00;16,00;20,00;8,00;4,00;0,00;0,00;10,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;8,00;8,00;8,00;0,00;0,00;16,00;0,00;0,00;12,00;16,00;0,00;4,00;4,00;0,00;9,60;0,00;0,00;0,00;4,00;0,00;2,00;4,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;8,00;16,00;4,00;0,00;4,00;24,00;2,00;4,00;8,00;36,00;4,00;4,00;4,00;0,00;4,00;2,00;2,00;6,00;4,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
