Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-07-28;76,00;361,00;304,00;285,00;247,00;47,24;117,08;96,54;69,84;34,27;110,27;47,69;55,14;27,14;103,14;21,71;40,71;62,00;48,00;14,00;90,00;48,86;34,74;47,77;6,51;55,00;21,00;7,00;34,00;0,00;14,00;28,00;21,00;7,00;7,00;0,00
2019-08-04;67,00;268,00;301,50;217,75;184,25;52,79;146,18;73,09;93,39;59,56;59,56;67,00;72,96;13,40;99,16;32,16;53,60;47,00;27,00;47,00;40,00;81,28;47,23;13,18;13,18;40,00;33,00;13,00;13,00;33,00;7,00;20,00;33,00;0,00;13,00;7,00
2019-08-11;45,00;495,00;292,50;315,00;202,50;102,27;177,95;120,68;75,68;39,00;45,00;39,00;70,50;23,82;55,59;23,82;45,00;64,00;45,00;38,00;45,00;51,59;32,93;13,17;38,41;32,00;32,00;0,00;19,00;19,00;13,00;19,00;6,00;0,00;13,00;0,00
2019-08-18;60,00;400,00;220,00;180,00;200,00;126,21;107,59;99,31;93,10;46,50;73,50;54,00;46,50;32,73;100,91;5,45;19,09;33,00;60,00;53,00;27,00;53,45;26,18;40,36;19,64;13,00;20,00;26,00;0,00;20,00;33,00;13,00;7,00;27,00;0,00;7,00
2019-08-25;57,00;285,00;247,00;228,00;209,00;93,64;93,64;150,64;57,00;51,00;57,00;51,00;88,50;19,00;57,00;38,00;19,00;32,00;13,00;44,00;38,00;31,79;31,79;18,63;18,63;13,00;19,00;6,00;19,00;6,00;44,00;6,00;6,00;6,00;6,00;0,00
2019-09-01;93,00;372,00;204,60;260,40;223,20;111,60;117,80;130,20;105,40;43,50;55,50;69,00;99,00;43,76;30,09;30,09;19,15;56,00;74,00;31,00;68,00;55,80;43,76;30,64;31,73;12,00;12,00;25,00;6,00;6,00;6,00;19,00;0,00;6,00;0,00;6,00
2019-09-08;75,00;337,50;337,50;281,25;150,00;87,50;87,50;187,50;106,25;18,00;55,50;49,50;87,00;44,44;63,89;58,33;38,89;25,00;56,00;25,00;43,00;44,12;56,25;6,62;31,99;68,00;12,00;19,00;43,00;12,00;25,00;6,00;25,00;25,00;0,00;0,00
2019-09-15;43,00;408,50;236,50;279,50;258,00;116,71;129,00;110,57;73,71;60,79;72,66;43,00;97,86;24,19;61,81;29,56;48,38;43,00;25,00;12,00;49,00;56,23;56,23;6,62;30,87;18,00;18,00;12,00;37,00;6,00;6,00;6,00;6,00;6,00;0,00;6,00
2019-09-22;47,00;329,00;235,00;172,33;94,00;87,87;63,35;116,48;75,61;77,32;77,32;36,39;113,71;11,06;107,82;30,41;24,88;41,00;24,00;29,00;29,00;47,00;24,05;24,05;17,49;35,00;18,00;18,00;23,00;0,00;12,00;24,00;6,00;6,00;6,00;0,00
2019-09-29;77,00;385,00;308,00;211,75;96,25;77,00;106,14;208,11;70,76;36,24;52,84;46,80;95,12;11,00;82,50;46,75;24,75;53,00;53,00;47,00;12,00;41,80;53,90;24,20;12,10;18,00;41,00;18,00;23,00;0,00;6,00;23,00;18,00;24,00;0,00;0,00
2019-10-06;30,00;210,00;240,00;210,00;120,00;85,71;117,86;147,86;68,57;30,00;30,00;42,00;54,00;35,45;70,91;70,91;24,55;35,00;35,00;18,00;24,00;30,00;30,00;30,00;24,44;30,00;12,00;6,00;6,00;6,00;6,00;18,00;0,00;6,00;0,00;0,00
2019-10-13;53,00;300,33;212,00;265,00;141,33;116,19;138,62;116,19;46,88;59,06;53,00;36,34;136,29;41,84;66,95;36,26;47,42;6,00;35,00;23,00;41,00;34,61;11,90;11,90;11,90;6,00;29,00;6,00;18,00;12,00;6,00;0,00;0,00;6,00;12,00;6,00
2019-10-20;18,00;414,00;270,00;270,00;126,00;120,00;144,00;98,00;40,00;70,50;112,50;60,00;94,50;23,14;51,43;79,71;33,43;24,00;29,00;24,00;35,00;37,13;24,75;24,75;12,38;6,00;18,00;0,00;24,00;12,00;0,00;6,00;12,00;0,00;6,00;0,00
2019-10-27;30,00;375,00;270,00;240,00;135,00;111,43;117,86;137,14;75,00;36,00;54,00;42,00;66,00;5,45;49,09;30,00;19,09;24,00;42,00;42,00;42,00;12,22;12,22;17,78;36,67;18,00;42,00;6,00;24,00;24,00;6,00;12,00;0,00;6,00;0,00;0,00
