Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2020-04-26;15,00;0,00;10,00;0,00;10,00;32,14;0,00;0,00;10,00;0,00;0,00;5,00;15,00;0,00;0,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;0,00;0,00;0,00;0,00;0,00;17,00;2,00;0,00;1,00;0,00;0,00;5,00;10,00;10,00;0,00;5,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00
2020-05-10;0,00;0,00;0,00;0,00;4,00;7,00;5,00;0,00;1,00;1,00;0,00;10,00;5,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;1,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;5,00;0,00;0,00;5,00;5,00;30,00;13,33;0,00;15,00;5,00;5,00;0,00;5,00;0,00;0,00;5,00;5,00;10,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;16,00;0,00;0,00;0,00;4,92;60,00;6,00;0,00;21,33;16,00;0,00;11,00;0,00;5,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-31;5,00;0,00;5,00;0,00;15,00;60,00;12,50;5,00;10,00;25,00;0,00;5,00;0,00;0,00;0,00;5,00;10,00;5,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-07;5,00;0,00;10,00;0,00;21,25;42,50;17,50;0,00;20,00;35,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-14;22,00;0,00;6,00;0,00;16,82;68,20;17,60;5,50;33,00;22,00;5,50;0,00;16,00;0,00;5,00;0,00;0,00;16,76;0,00;0,00;11,00;0,00;6,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-21;17,00;0,00;6,00;6,07;6,07;63,75;10,63;0,00;28,33;39,67;11,33;12,00;0,00;0,00;0,00;28,00;6,00;6,00;17,00;0,00;6,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-28;12,00;0,00;6,00;6,67;30,67;33,60;0,00;6,00;6,00;30,00;0,00;0,00;12,00;6,00;6,00;18,55;12,00;24,00;6,55;0,00;0,00;0,00;6,00;0,00;0,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2020-07-05;24,00;0,00;12,00;6,32;24,00;85,09;30,55;4,80;14,40;24,00;0,00;0,00;24,00;6,00;0,00;6,26;6,26;6,26;6,26;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-12;6,00;0,00;12,00;12,00;18,00;48,00;36,00;12,00;24,00;72,00;0,00;6,00;12,00;0,00;19,00;6,00;0,00;12,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;6,00;0,00;0,00;0,00;0,00;0,00
2020-07-19;32,00;0,00;6,00;0,00;19,20;96,00;25,60;5,33;37,33;101,33;5,33;19,00;19,00;6,00;0,00;6,19;0,00;18,58;0,00;0,00;14,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00
2020-07-26;13,00;0,00;0,00;0,00;26,00;65,00;32,50;0,00;58,50;104,00;32,50;25,00;13,00;6,00;0,00;0,00;19,50;19,50;6,50;0,00;6,50;0,00;6,00;0,00;6,00;6,00;0,00;0,00;19,00;0,00;0,00;6,00;0,00;0,00;0,00
2020-08-02;32,00;0,00;19,00;0,00;19,20;83,20;25,60;0,00;48,00;74,67;26,67;13,00;32,00;6,00;0,00;32,00;6,19;12,39;6,19;0,00;0,00;7,11;0,00;0,00;6,00;6,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00
2020-08-09;6,00;0,00;0,00;6,00;12,00;100,00;48,00;6,00;36,00;96,00;12,00;0,00;31,00;0,00;12,00;24,00;0,00;6,00;0,00;12,00;6,00;0,00;0,00;13,00;0,00;0,00;6,00;0,00;6,00;0,00;6,00;0,00;0,00;6,00;0,00
2020-08-16;45,00;0,00;6,00;0,00;12,50;38,57;64,29;5,00;45,00;130,00;20,00;6,00;0,00;0,00;6,00;0,00;12,27;51,14;6,14;0,00;6,92;6,92;6,00;0,00;0,00;0,00;0,00;6,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-23;37,00;0,00;12,00;12,33;6,17;90,44;30,83;5,29;31,71;31,71;5,29;6,00;50,00;6,00;0,00;6,17;6,17;6,17;6,17;6,73;6,73;0,00;0,00;0,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-30;49,00;0,00;12,00;6,28;12,56;49,00;12,78;4,90;4,90;53,90;9,80;0,00;24,00;6,00;12,00;0,00;6,13;6,13;6,13;0,00;7,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-06;24,00;0,00;6,00;6,32;6,32;37,09;37,09;4,80;43,20;38,40;28,80;6,00;12,00;0,00;0,00;12,00;0,00;18,00;6,00;0,00;13,71;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
