Disney;BE;CH;DE;ES;FR;IT;NL;UK;US
2021-02-28;10,00;2,00;4,00;6,00;12,00;2,00;4,00;10,00;1,00
2021-03-07;9,00;4,00;4,00;5,00;17,00;3,00;9,00;8,00;1,00
2021-03-14;14,00;3,00;4,00;5,00;11,00;2,00;6,00;10,00;1,00
2021-03-21;15,00;5,00;3,00;6,00;9,00;4,00;7,00;8,00;1,00
2021-03-28;6,00;3,00;2,00;5,00;7,00;2,00;4,00;5,00;1,00
2021-04-04;15,00;2,00;4,00;7,00;11,00;2,00;11,00;7,00;1,00
2021-04-11;12,00;0,00;2,00;5,00;11,00;3,00;9,00;6,00;1,00
2021-04-18;19,00;11,00;4,00;4,00;16,00;5,00;5,00;7,00;1,00
2021-04-25;18,00;6,00;4,00;9,00;20,00;2,00;8,00;7,00;1,00
2021-05-02;19,00;2,00;5,00;9,00;28,00;4,00;9,00;7,00;1,00
2021-05-09;21,00;5,00;8,00;8,00;24,00;4,00;9,00;8,00;1,00
2021-05-16;41,00;9,00;13,00;13,00;41,00;7,00;23,00;11,00;1,00
2021-05-23;38,00;10,00;10,00;16,00;30,00;6,00;17,00;10,00;1,00
2021-05-30;27,00;2,00;9,00;15,00;34,00;5,00;22,00;9,00;1,00
2021-06-06;34,00;6,00;11,00;18,00;34,00;5,00;16,00;10,00;1,00
2021-06-13;40,00;7,00;10,00;19,00;50,00;6,00;19,00;10,00;1,00
2021-06-20;56,00;12,00;13,00;26,00;61,00;6,00;26,00;11,00;1,00
2021-06-27;44,00;13,00;11,00;16,00;58,00;9,00;23,00;13,00;1,00
2021-07-04;46,00;18,00;14,00;14,00;62,00;6,00;27,00;13,00;1,00
2021-07-11;52,00;12,00;12,00;17,00;66,00;8,00;24,00;10,00;1,00
2021-07-18;41,00;20,00;14,00;17,00;56,00;6,00;26,00;10,00;1,00
2021-07-25;49,00;8,00;12,00;18,00;54,00;8,00;29,00;11,00;1,00
2021-08-01;55,00;11,00;11,00;14,00;61,00;6,00;25,00;14,00;1,00
2021-08-08;40,00;8,00;11,00;21,00;56,00;10,00;29,00;14,00;1,00
2021-08-15;56,00;13,00;10,00;22,00;61,00;8,00;22,00;15,00;2,00
2021-08-22;35,00;7,00;9,00;17,00;56,00;11,00;22,00;12,00;1,00
2021-08-29;33,00;13,00;9,00;26,00;49,00;12,00;23,00;14,00;1,00
2021-09-05;53,00;14,00;10,00;23,00;56,00;10,00;38,00;19,00;1,00
2021-09-12;58,00;19,00;9,00;20,00;54,00;11,00;39,00;19,00;1,00
2021-09-19;56,00;13,00;11,00;18,00;56,00;11,00;24,00;19,00;1,00
2021-09-26;63,00;10,00;13,00;23,00;56,00;10,00;41,00;17,00;2,00
2021-10-03;44,00;18,00;16,00;19,00;62,00;13,00;36,00;20,00;1,00
2021-10-10;47,00;34,00;15,00;26,00;75,00;14,00;45,00;18,00;1,00
2021-10-17;50,00;21,00;14,00;18,00;80,00;13,00;50,00;19,00;1,00
2021-10-24;43,00;14,00;11,00;21,00;83,00;17,00;30,00;19,00;1,00
2021-10-31;66,00;14,00;9,00;23,00;75,00;26,00;25,00;20,00;1,00
2021-11-07;62,00;15,00;10,00;23,00;71,00;18,00;29,00;21,00;1,00
2021-11-14;54,00;16,00;10,00;23,00;73,00;12,00;27,00;18,00;1,00
2021-11-21;45,00;8,00;6,00;23,00;63,00;11,00;19,00;15,00;1,00
2021-11-28;34,00;6,00;8,00;20,00;53,00;9,00;21,00;13,00;1,00
2021-12-05;42,00;5,00;8,00;20,00;61,00;12,00;26,00;11,00;1,00
2021-12-12;49,00;10,00;8,00;15,00;56,00;10,00;23,00;10,00;1,00
2021-12-19;56,00;8,00;11,00;14,00;75,00;8,00;32,00;6,00;1,00
2021-12-26;78,00;14,00;10,00;20,00;84,00;10,00;39,00;15,00;1,00
