Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2021-07-25;57,00;84,00;41,00;13,00;6,00;285,00;81,43;89,57;20,36
2021-08-01;60,00;75,00;44,00;14,00;9,00;308,00;80,00;80,00;20,00
2021-08-08;60,00;65,00;30,00;12,00;7,00;400,00;88,00;84,00;20,00
2021-08-15;51,00;65,00;43,00;12,00;11,00;298,15;86,31;78,46;19,62
2021-08-22;46,00;65,00;32,00;12,00;7,00;238,36;87,82;79,45;20,91
2021-08-29;35,00;82,00;28,00;10,00;3,00;186,67;73,89;54,44;19,44
2021-09-05;38,00;48,00;22,00;10,00;4,00;173,11;50,67;63,33;21,11
2021-09-12;30,00;40,00;27,00;10,00;5,00;150,00;55,71;60,00;21,43
2021-09-19;33,00;47,00;16,00;8,00;3,00;144,38;49,50;45,38;20,63
2021-09-26;27,00;31,00;36,00;10,00;5,00;127,29;30,86;42,43;19,29
2021-10-03;19,00;30,00;16,00;9,00;7,00;87,40;34,20;34,20;15,20
2021-10-10;23,00;34,00;15,00;6,00;6,00;84,33;30,67;30,67;15,33
2021-10-17;21,00;24,00;11,00;7,00;2,00;96,60;21,00;29,40;16,80
2021-10-24;20,00;29,00;24,00;7,00;4,00;100,00;28,00;24,00;16,00
2021-10-31;18,00;30,00;13,00;5,00;3,00;85,50;27,00;27,00;13,50
2021-11-07;16,00;21,00;8,00;5,00;4,00;68,00;24,00;24,00;12,00
2021-11-14;13,00;18,00;12,00;5,00;3,00;78,00;21,67;21,67;13,00
2021-11-21;13,00;17,00;5,00;3,00;4,00;69,33;17,33;21,67;13,00
2021-11-28;13,00;5,00;6,00;3,00;4,00;65,00;21,67;17,33;13,00
2021-12-05;10,00;17,00;7,00;4,00;3,00;75,00;25,00;20,00;15,00
2021-12-12;11,00;22,00;11,00;3,00;2,00;47,67;18,33;14,67;11,00
2021-12-19;12,00;17,00;13,00;4,00;1,00;44,00;20,00;12,00;8,00
2021-12-26;14,00;22,00;3,00;4,00;3,00;59,50;21,00;17,50;10,50
